Day,Open,High,Low,Close,Adj Close,Volume
2051,219.75,221.470001,217.669998,218.960007,182.646133,5980200
2052,219.550003,220.440002,213.690002,216.75,180.802658,7853800
2053,217.5,219.649994,216,219.179993,182.829605,5019900
2054,220.339996,224.899994,219.990005,224.550003,187.309006,4676800
2055,224.289993,224.289993,221.199997,221.320007,184.614731,5385600
2056,220.759995,224.220001,220.699997,223.639999,186.549896,4122400
2057,223.020004,225.770004,222.509995,223.300003,186.266327,3998900
2058,220.990005,222.699997,216.520004,217.080002,181.077881,7960500
2059,216.979996,219,214.649994,216.720001,180.777649,8924700
2060,218.470001,220.289993,216.720001,220.289993,183.755539,6072900
2061,220.059998,222.820007,219.199997,222.179993,185.332169,5605300
2062,221.869995,223.449997,219.460007,220.399994,183.847305,4654500
2063,221.740005,222.119995,218.649994,219.399994,183.013184,5582200
2064,216.029999,218.520004,212.339996,214.990005,179.334503,11664000
2065,217.080002,217.5,210.029999,211.690002,176.581818,9461900
2066,211.169998,211.970001,204.789993,205.940002,171.785431,14540900
2067,207.160004,207.880005,204.070007,205.039993,171.034668,7760400
2068,202.630005,204.559998,196.770004,198.149994,165.287399,12344500
2069,199.800003,203.75,197.779999,203.160004,169.466476,13933200
2070,198,199.889999,189,195.119995,162.759903,22690900
2071,194.669998,196.839996,190.509995,192.649994,160.988342,17054700
2072,194.520004,197.600006,192.449997,195.740005,163.570496,12195100
2073,198.550003,198.990005,187.25,188.339996,157.386688,14744900
2074,187.029999,189.100006,182.850006,189,157.938187,16284300
2075,189.149994,192.479996,185,187.460007,156.651291,13133400
2076,185.410004,186.839996,179.679993,179.679993,150.149963,19828300
2077,179.199997,187.860001,175,187.789993,156.927063,18867300
2078,186.580002,194.639999,185.389999,191.25,159.818405,22763100
2079,192.039993,198.5,188.759995,193.300003,161.531509,20622000
2080,186.160004,190.649994,180.789993,182.25,152.297546,20868400
2081,178.649994,184.410004,175.570007,180.5,150.835114,20278700
2082,185.009995,187.25,176.610001,177.5,148.328217,15296400
